method,accession,precision_official,precision_strict,called_frac
DNABERT-S-only,AC_000091.1,41.5981045129755,3.3783333333333334,14.204753340914941
DNABERT-S-only,NC_000907.1,0.0,0.0,5.1908653882931235
DNABERT-S-only,NC_000913.2,50.80832232968131,7.094850498338871,12.975046743575788
DNABERT-S-only,NC_002516.2,42.67392735652365,8.666016713091922,5.730792586174199
DNABERT-S-only,NC_002655.2,98.01813534620615,26.186153846153847,15.284587257357177
DNABERT-S-only,NC_002695.1,98.50366159081062,30.166666666666668,16.85929671089125
DNABERT-S-only,NC_002758.2,100.0,8.657186544342508,11.359968928574283
DNABERT-S-only,NC_002944.2,100.0,10.066581956797966,8.147367344399258
DNABERT-S-only,NC_002947.3,88.33894068679194,26.906236559139785,15.044008577996633
DNABERT-S-only,NC_003047.1,78.07659668963986,35.28530465949821,7.6351858921468425
DNABERT-S-only,NC_003197.1,61.25460132031274,13.98263888888889,11.858117622645052
DNABERT-S-only,NC_003198.1,84.93140960797885,23.045585874799357,12.95477660080386
DNABERT-S-only,NC_003485.1,19.642064783316076,3.918688524590164,16.094842420938704
DNABERT-S-only,NC_003909.8,33.4547788897297,14.828151498021482,10.158331774905763
DNABERT-S-only,NC_003923.1,53.0123977842258,7.912204724409449,9.005616810295617
DNABERT-S-only,NC_003997.3,17.69605735509705,5.909696393045584,11.058304939095628
DNABERT-S-only,NC_004070.1,13.937718876605095,2.995940959409594,14.259247858876591
DNABERT-S-only,NC_004088.1,1.4230741305452697,0.17196753674051327,9.909243156829694
DNABERT-S-only,NC_004116.1,15.779008176628897,3.897121083827265,10.93383364186001
DNABERT-S-only,NC_004337.1,42.017155276823786,6.065868263473054,9.061897207481415
DNABERT-S-only,NC_004347.1,50.02805923616524,8.581016042780748,7.525449197885711
DNABERT-S-only,NC_004368.1,62.291096367095065,31.965714285714284,9.495881726532172
DNABERT-S-only,NC_004431.1,89.64155390659101,25.24198623402163,19.44019873732373
DNABERT-S-only,NC_004459.2,63.19165566126728,12.094918751612072,11.813120516376879
DNABERT-S-only,NC_004578.1,88.42170552133146,29.049811320754717,12.427455704327224
DNABERT-S-only,NC_004603.1,73.0915385074508,12.712110726643598,8.788046310875467
DNABERT-S-only,NC_004606.1,31.739582349050362,5.851916376306621,15.150915257816314
DNABERT-S-only,NC_004631.1,80.73595390799116,26.377424483306836,13.12615023369347
DNABERT-S-only,NC_004722.1,26.530581925688224,6.751606805293005,9.774919994404828
DNABERT-S-only,NC_004741.1,50.9967916534006,9.152747252747252,9.892693626104883
DNABERT-S-only,NC_005071.1,66.3957790041846,8.829032258064515,10.286730159572901
DNABERT-S-only,NC_005139.1,32.007064463226946,2.957109557109557,12.788772113918448
DNABERT-S-only,NC_005773.3,76.2990379630163,25.80146103896104,10.389983650955921
DNABERT-S-only,NC_005945.1,17.533013177104603,6.472402738064292,11.036282124130011
DNABERT-S-only,NC_006086.1,55.43903643755462,20.05635738831615,15.31678103371955
DNABERT-S-only,NC_006155.1,77.60830106957287,17.117697594501717,12.266393180897053
DNABERT-S-only,NC_006350.1,54.71786907619182,10.866355140186917,10.504248084815423
DNABERT-S-only,NC_006511.1,27.553966023757823,2.3346320346320346,10.075832635621907
DNABERT-S-only,NC_006905.1,36.435755772772346,5.116094032549729,11.62815148138024
DNABERT-S-only,NC_007005.1,60.77055903302396,8.899568965517242,11.421635926165031
DNABERT-S-only,NC_007146.2,100.0,33.76433566433566,7.469352151225653
DNABERT-S-only,NC_007297.1,19.973567386221152,5.125217391304348,12.509831095523982
DNABERT-S-only,NC_007335.2,67.1856014580802,9.288188976377953,10.336974516780355
DNABERT-S-only,NC_007384.1,56.89379806466333,8.01645234493192,10.958983599864464
DNABERT-S-only,NC_007432.1,25.07470443029752,9.828703703703704,10.151143954030356
DNABERT-S-only,NC_007434.1,81.33916766975156,31.59850517439632,12.645736171846297
DNABERT-S-only,NC_007510.1,50.29380270735332,22.693990384615386,11.26112103377091
DNABERT-S-only,NC_007530.2,18.149464084798957,5.852396410158487,10.018328356689985
DNABERT-S-only,NC_007606.1,17.461887582916326,3.897402597402597,5.2869703416984954
DNABERT-S-only,NC_007613.1,36.04382761139518,5.12931392931393,10.642009653917864
DNABERT-S-only,NC_007651.1,49.40173573666102,10.20364870598218,12.375298651869512
DNABERT-S-only,NC_007761.1,80.57273991148455,28.60280172413793,10.589719573270816
DNABERT-S-only,NC_007778.1,100.0,31.0493705257961,7.5980145755840205
DNABERT-S-only,NC_007793.1,51.10235219326128,7.002090592334495,9.990361215955755
DNABERT-S-only,NC_007946.1,86.51718000309549,20.775377468060395,16.996526273254002
DNABERT-S-only,NC_007958.1,100.0,33.91922196796339,8.931642684422583
DNABERT-S-only,NC_008022.1,23.34091345845878,5.060763888888889,14.935807145539068
DNABERT-S-only,NC_008023.1,52.99340108090892,19.36109090909091,14.782124917018526
DNABERT-S-only,NC_008024.1,50.8242415417737,16.289,15.486980353732957
DNABERT-S-only,NC_008060.1,51.00202900478978,14.959268292682927,12.444746086203239
DNABERT-S-only,NC_008061.1,73.29881656804734,4.43258785942492,11.224837804679932
DNABERT-S-only,NC_008253.1,71.62931689473396,11.86083009079118,15.610700315048634
DNABERT-S-only,NC_008258.1,39.93646709809533,6.263948939674696,10.618055197272405
DNABERT-S-only,NC_008321.1,69.13042737373048,20.447832661290324,8.431275015739583
DNABERT-S-only,NC_008322.1,67.19623606797003,20.955270655270656,7.323775562793551
DNABERT-S-only,NC_008390.1,20.97214290246843,3.1778846153846154,8.772558761382184
DNABERT-S-only,NC_008463.1,61.41488928134764,14.054873309497902,9.83993020119774
DNABERT-S-only,NC_008543.1,100.0,2.7395061728395063,13.506014678536843
DNABERT-S-only,NC_008563.1,80.67328943299164,11.341569459172852,18.555595456535535
DNABERT-S-only,NC_008577.1,71.04730593607306,19.725354969574038,9.915120135859269
DNABERT-S-only,NC_008595.1,91.55973465915835,10.648312883435583,11.907607920458641
DNABERT-S-only,NC_008600.1,13.319784833729058,4.319991298673048,8.744379733963136
DNABERT-S-only,NC_008611.1,100.0,6.182575757575758,2.343913974095489
