host,donor,insert_len,seed,method,n_inserts,n_pred,detected,detection_rate,precision,recall,f1,accuracy,mcc,TP,FP,TN,FN,n_matched,mabe,median_jaccard,median_signed_start,median_signed_end,within_1000,within_2500,within_5000,delta_gc,tnf_euclidean,tnf_manhattan,tnf_cosine_dist
AC_000091.1,NC_010473.1,5000,1,Comp-only,6,12,1,16.666666666666664,1.3915831484847052,16.666666666666664,2.5686932800415105,91.40688734910349,0.025794466158741706,5000,354303,4029732,25000,1,25300.0,0.08992805755395683,-37700.0,12900.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,1,DNABERT-2-only,6,13,0,0.0,0.0,0.0,0.0,90.70231658788389,-0.025403727808850297,0,380403,4003632,30000,0,,,,,,,,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,1,DNABERT-S-only,6,14,2,33.33333333333333,1.6492487671865466,30.0,3.126612159394688,87.36523385066045,0.04432475880055616,9000,536703,3847332,21000,2,24000.0,0.10368773946360153,-33500.0,11500.0,25.0,25.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,1,SAGE-GI,6,13,2,33.33333333333333,1.8568071581979066,30.0,3.4971624412525277,88.74718936302045,0.05032119952520428,9000,475703,3908332,21000,2,24000.0,0.10368773946360153,-33500.0,11500.0,25.0,25.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,1,SAGE-GI/no-refine,6,14,2,33.33333333333333,1.1810020041954803,16.833333333333332,2.207153362193867,89.8618157762682,0.019985216966142718,5050,422553,3961482,24950,2,21750.0,0.044760454336200683,-29550.0,6600.0,0.0,0.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,0,Comp-only,6,11,0,0.0,0.0,0.0,0.0,90.03601456784206,-0.03591677924907892,0,382803,4001232,60000,0,,,,,,,,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,0,DNABERT-2-only,6,13,1,16.666666666666664,2.388898311765563,16.666666666666664,4.1788287996523215,89.68048181438715,0.029025573022363634,10000,408603,3975432,50000,1,14000.0,0.2631578947368421,-14000.0,14000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,0,DNABERT-S-only,6,14,1,16.666666666666664,1.7073499708896829,16.666666666666664,3.0973992687040326,85.9203854155064,0.012059972818414064,10000,575703,3808332,50000,1,17500.0,0.2222222222222222,-17000.0,18000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,0,SAGE-GI,6,13,1,16.666666666666664,1.8324986302072739,16.666666666666664,3.3019483146030315,86.82046833564542,0.01563823426470463,10000,535703,3848332,50000,1,17500.0,0.2222222222222222,-17000.0,18000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,0,SAGE-GI/no-refine,6,13,1,16.666666666666664,2.006811116930863,16.666666666666664,3.5822841718565006,87.88706659601016,0.02022115894336172,10000,488303,3895732,50000,1,3550.0,0.5847953216374269,-350.0,6750.0,50.0,50.0,50.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,0,Comp-only,6,12,1,16.666666666666664,1.305813743950818,16.666666666666664,2.4218763244636152,90.87222915087895,0.023488579675632313,5000,377903,4006132,25000,1,6150.0,0.28901734104046245,-8300.0,4000.0,0.0,0.0,50.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,0,DNABERT-2-only,6,13,1,16.666666666666664,1.2088887169580491,16.666666666666664,2.2542678926878312,90.17672039301908,0.020712281201068893,5000,408603,3975432,25000,1,14000.0,0.15151515151515152,-14000.0,14000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,0,DNABERT-S-only,6,14,1,16.666666666666664,0.8081421942353602,16.666666666666664,1.5415374986704242,85.53017817031355,0.006314373358970867,5000,613703,3770332,25000,1,17000.0,0.1282051282051282,-17000.0,17000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,0,SAGE-GI,6,13,1,16.666666666666664,0.8950900729140373,16.666666666666664,1.698937993860038,86.89174417511416,0.009981118833233146,5000,553603,3830432,25000,1,17000.0,0.1282051282051282,-17000.0,17000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,5000,0,SAGE-GI/no-refine,6,13,1,16.666666666666664,1.028800233743413,16.666666666666664,1.9379732288378169,88.53649778490656,0.014947966949293793,5000,481003,3903032,25000,1,10600.0,0.19083969465648856,-7450.0,13750.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,1,Comp-only,6,13,2,33.33333333333333,3.2231366582628387,19.666666666666664,5.538566966203008,90.94284810988212,0.04862807943671079,11800,354303,4029732,48200,2,18050.0,0.1099175236737603,-29650.0,2850.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,1,DNABERT-2-only,6,13,2,33.33333333333333,4.520194634263075,28.333333333333332,7.796555756839184,90.95214146603256,0.0835203071661861,17000,359090,4024945,43000,2,17000.0,0.2410581222056632,-20500.0,9500.0,0.0,0.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,1,DNABERT-S-only,6,14,2,33.33333333333333,3.3167312507946334,30.0,5.973091224035718,87.24800772271145,0.06355607185849649,18000,524703,3859332,42000,2,20000.0,0.21878121878121878,-29500.0,11000.0,0.0,25.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,1,SAGE-GI,6,13,2,33.33333333333333,3.6682066341554873,30.0,6.537098944440108,88.41811551889218,0.07076546976660993,18000,472703,3911332,42000,2,20000.0,0.21878121878121878,-29500.0,11000.0,0.0,25.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,10000,1,SAGE-GI/no-refine,6,13,2,33.33333333333333,4.498922351157746,32.25,7.896299349320449,89.84249674001218,0.08931221628150046,19350,410753,3973282,40650,2,21650.0,0.21603789836347975,-29350.0,9450.0,25.0,25.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,1,Comp-only,6,12,0,0.0,0.0,0.0,0.0,89.39832838776786,-0.048579266299843354,0,357503,4026532,120000,0,,,,,,,,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,1,DNABERT-2-only,6,12,0,0.0,0.0,0.0,0.0,89.40749794351065,-0.04854878025454018,0,357090,4026945,120000,0,,,,,,,,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,1,DNABERT-S-only,6,14,0,0.0,0.0,0.0,0.0,85.530685263325,-0.0605292653147034,0,531703,3852332,120000,0,,,,,,,,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,1,SAGE-GI,6,13,1,16.666666666666664,1.000594353045709,4.166666666666666,1.6136762287741062,86.46318245750754,-0.03649519896342316,5000,494703,3889332,115000,1,15500.0,0.1388888888888889,-16000.0,-15000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,1,SAGE-GI/no-refine,6,13,2,33.33333333333333,1.3603807252189646,5.0,2.1388353684945987,87.80975281053544,-0.026677206179070465,6000,435053,3948982,114000,2,20500.0,0.06131336689368037,-29450.0,-17000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,0,Comp-only,6,12,1,16.666666666666664,1.609860934846245,5.0,2.43554433401055,89.3272809824968,-0.019666307466142903,6000,366703,4017332,114000,1,13500.0,0.18181818181818182,-13000.0,-14000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,0,DNABERT-2-only,6,12,1,16.666666666666664,4.94083351861459,16.666666666666664,7.622096457630671,89.23654012457717,0.044423766801338194,20000,384790,3999245,100000,1,14000.0,0.4166666666666667,-14000.0,14000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,0,DNABERT-S-only,6,15,2,33.33333333333333,5.956899540707771,32.5,10.06837459000417,84.53158112670084,0.08432288611642196,39000,615703,3768332,81000,2,6500.0,0.5773809523809523,-2000.0,12500.0,25.0,25.0,50.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,0,SAGE-GI,6,13,1,16.666666666666664,3.653825074086111,15.833333333333332,5.9374721680992115,86.63414027644102,0.022199962179217013,19000,501003,3883032,101000,1,4500.0,0.6785714285714286,1000.0,8000.0,50.0,50.0,50.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,20000,0,SAGE-GI/no-refine,6,13,1,16.666666666666664,4.259823685897641,16.666666666666664,6.785376834384219,87.79976176916921,0.03379917169042189,20000,449503,3934532,100000,1,500.0,0.9523809523809523,-250.0,750.0,100.0,100.0,100.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,0,Comp-only,6,12,1,16.666666666666664,4.107433938770818,6.625,5.070937310138844,87.12589761971957,-0.014754672451800467,15900,371203,4012832,224100,1,15000.0,0.3464052287581699,24100.0,5900.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,0,DNABERT-2-only,6,13,2,33.33333333333333,6.350774839651395,11.729166666666666,8.239993091870799,86.44143048225197,0.01703419928940996,28150,415103,3968932,211850,2,25925.0,0.17521608417888013,25925.0,42175.0,0.0,0.0,25.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,0,DNABERT-S-only,6,14,1,16.666666666666664,2.168179488092823,5.833333333333333,3.1613306040512454,81.45120008823461,-0.05488480806956591,14000,631703,3752332,226000,1,56000.0,0.1111111111111111,26000.0,86000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,0,SAGE-GI,6,12,1,16.666666666666664,2.5102966991391478,5.833333333333333,3.5100783123543478,83.35429987013507,-0.04474137962509589,14000,543703,3840332,226000,1,56000.0,0.1111111111111111,26000.0,86000.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,0,SAGE-GI/no-refine,6,13,1,16.666666666666664,3.8327988543199702,8.0625,5.195656055624399,84.72864067854158,-0.021423319011668895,19350,485503,3898532,220650,1,17150.0,0.36067101584342964,20650.0,13650.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,1,Comp-only,6,12,1,16.666666666666664,1.3903921178398215,2.125,1.6809409314060744,87.09778364566877,-0.05028068081408599,5100,361703,4022332,234900,1,37100.0,0.06431273644388398,-39300.0,-34900.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
AC_000091.1,NC_010473.1,40000,1,DNABERT-2-only,6,14,2,33.33333333333333,8.57065747276233,14.6875,10.824720898774274,87.4398225791976,0.04761397568267076,35250,376037,4007998,204750,2,22375.0,0.31567028985507245,-4000.0,-7875.0,0.0,0.0,0.0,0.0001826143753953513,0.00039472182234001044,0.004570779493802233,1.743715881685759e-05
