donor,tnf,dgc
NC_010473.1,0.019151291574660854,0.06324645706879695
NC_000913.2,0.01915819501526565,0.06324645706879695
NC_010498.1,0.019195144976191892,0.06324645706879695
NC_009801.1,0.019274402879876078,0.06324645706879695
NC_009800.1,0.019306203609663963,0.06344691809149094
NC_008563.1,0.019310298765201066,0.06324645706879695
NC_007946.1,0.019387400305189116,0.06324645706879695
NC_008253.1,0.019406399223830053,0.06324645706879695
NC_007146.2,0.01941916545339947,0.06324645706879695
NC_004431.1,0.01953415851084632,0.06324645706879695
NC_002655.2,0.01959743831434489,0.06324645706879695
NC_002695.1,0.01961902154792549,0.06324645706879695
NC_009567.1,0.019658804359098392,0.06465540523571234
NC_008258.1,0.019926645607637614,0.06442808007377532
NC_004741.1,0.019949594645623073,0.0643104932219698
NC_004337.1,0.01998678949540994,0.0641457922702161
NC_007384.1,0.020238125631552344,0.06534826763551471
NC_007613.1,0.02066854115684566,0.06737870667504231
NC_007606.1,0.02093609260121386,0.06774762060206552
NC_010159.1,0.02191269375059274,0.06324645706879695
NC_006155.1,0.021932350438844513,0.06324645706879695
NC_010465.1,0.02196212618534365,0.06324645706879695
NC_004088.1,0.02197537285040998,0.06324645706879695
NC_009708.1,0.022024360286927884,0.06324645706879695
NC_009438.1,0.022911006066685183,0.06324645706879695
NC_008750.1,0.02293153636898712,0.06324645706879695
NC_010410.1,0.02309053075162213,0.06324645706879695
NC_004347.1,0.023260717712062933,0.06324645706879695
NC_009085.1,0.02343406894971291,0.06324645706879695
NC_009052.1,0.02344619118065725,0.06324645706879695
NC_009665.1,0.02346354855302795,0.06324645706879695
NC_009997.1,0.023467395924974224,0.06324645706879695
NC_010400.1,0.023757598287389485,0.06324645706879695
NC_005139.1,0.024304290136481395,0.06324645706879695
NC_008322.1,0.02431885268446193,0.06324645706879695
NC_004459.2,0.0243493592169461,0.06324645706879695
NC_008321.1,0.024394847054055743,0.06324645706879695
NC_008577.1,0.02440684785916132,0.06324645706879695
NC_004631.1,0.024839276964256755,0.07576759606801664
NC_003198.1,0.024871951422314506,0.07617785025889579
NC_004603.1,0.024908547347504563,0.06324645706879695
NC_010102.1,0.025012704597840822,0.07634821457002283
NC_006905.1,0.02515740398709546,0.07681764925377188
NC_006511.1,0.025266322250105465,0.07689420846961081
NC_003197.1,0.025303316212339798,0.07746571799608892
NC_010334.1,0.025667243657006136,0.06324645706879695
NC_009783.1,0.0261077540686257,0.06324645706879695
NC_009901.1,0.026108989397502093,0.06324645706879695
NC_008023.1,0.027495816140932536,0.06324645706879695
NC_004070.1,0.02763677939421962,0.06324645706879695
NC_006086.1,0.02764571823329999,0.06324645706879695
NC_003485.1,0.027660336979990194,0.06324645706879695
NC_004606.1,0.027683716480715534,0.06324645706879695
NC_007297.1,0.027695533741356,0.06324645706879695
NC_008022.1,0.02774224435878794,0.06324645706879695
NC_008024.1,0.027879319676170588,0.06324645706879695
NC_010380.1,0.029243650619683034,0.06324645706879695
NC_010582.1,0.029312695092652843,0.06324645706879695
NC_003909.8,0.030017618189645087,0.08896229553365642
NC_010184.1,0.030019246825769987,0.08913369146095951
NC_004116.1,0.030091229482909713,0.08828319048562006
NC_007432.1,0.03014792750265282,0.08852499289426202
NC_004368.1,0.030229855273597776,0.08847513473900587
NC_008600.1,0.0302930443790915,0.09048837236909463
NC_005945.1,0.030319998007669546,0.09095485299598394
NC_007530.2,0.03032237950736496,0.09097778586063093
NC_003997.3,0.03032299518545384,0.09098092798173335
NC_004722.1,0.030459555857681404,0.09194306970500754
NC_002935.2,0.03136120338548931,0.09003582071820815
NC_009342.1,0.0327799887185134,0.09658195134089975
NC_005071.1,0.03332820594509693,0.06324645706879695
NC_007335.2,0.033349766207363976,0.09351899548055936
NC_008819.1,0.033587313956618334,0.09495623242310575
NC_009632.1,0.0340798311742249,0.1152424508245985
NC_009487.1,0.034082540405917766,0.11525538467546126
NC_009782.1,0.0342511319423308,0.11597265780224714
NC_002758.2,0.034252187898548364,0.11597131512442616
NC_003923.1,0.034400927860705074,0.11645345174833532
NC_007793.1,0.034588882211364406,0.11723951271884875
NC_005773.3,0.03933295416726528,0.135400893607164
NC_009504.1,0.03976125392850163,0.1275059313568644
NC_010167.1,0.039966031787495415,0.12853436505699878
NC_004578.1,0.040082138590764045,0.13923949747758946
NC_009900.1,0.041204498196706435,0.11931566500874641
NC_007005.1,0.04243226852057994,0.14757869588110206
NC_009879.1,0.04444599146524199,0.13420982715026997
NC_010501.1,0.04829277406865849,0.16960663875582904
NC_002947.3,0.04844358525099335,0.17049159465309205
NC_009512.1,0.04931106796518209,0.17387002815634556
NC_010322.1,0.04978249917985407,0.17467313704961485
NC_007761.1,0.052943541445793704,0.16797277491891938
NC_003047.1,0.0561897632220936,0.18254004599648077
NC_008611.1,0.05913700713909059,0.2099775984406267
NC_010612.1,0.05991281645238688,0.21251687810845232
NC_009485.1,0.062080175456608794,0.20445216361416763
NC_011770.1,0.06233762824697131,0.21822449886828132
NC_008463.1,0.06237373208093054,0.21817385071892204
NC_002516.2,0.06321872674626912,0.2208080174577024
NC_007958.1,0.06357858372608503,0.20332822805931916
